Photography,Rating,Location,Reviews,Price Per Day,Usefull,per day
Tarun Video Graphics,5.0,Kamla Nagar,15 reviews,Photo + Video,"25,000",per day
Wedding Door,4.6,Civil Lines,24 reviews,Photo + Video,"49,000",per day
Mk Studio,5.0,Civil Lines,1 review,Photo + Video,"25,000",per day
Speed Color Lab,5.0,Agra,1 review,Photo + Video,"50,000",per day
Om Sharma Photography,4.9,Agra Cantt,14 reviews,Photo + Video,"50,000",per day
Isha Video Films,4.9,Sikandra,6 reviews,Photo + Video,"35,000",per day
Studio Sagar,4.8,Agra,10 reviews,Photo + Video,"35,000",per day
Aanand TIwari Photography,4.5,Sikandra,1 review,Photo + Video,"50,000",per day
In Focus Studio,5.0,Kamla Nagar,1 review,Photo + Video,"31,000",per day
GV Studio,4.9,Lohamandi,17 reviews,Photo + Video,"45,000",per day
Pratik Studio,4.9,Agra,5 reviews,Photo + Video,"45,000",per day
Shoaib Photography,5.0,Rakabganj,2 reviews,Photo + Video,"70,000",per day
Dirend Kain Photography,5.0,Sadar Bazar,1 review,Photo + Video,"35,000",per day
Arpan Bhargava Cine Productions,5.0,Shahganj,6 reviews,Photo + Video,"1,00,000",per day
Shiva Art Studio,5.0,Agra,8 reviews,Photo + Video,"45,000",per day
Creative Wedding Movie,5.0,Rakabganj,1 review,Photo + Video,"55,000",per day
Veer Gurjar Studios,5.0,Sikandra,10 reviews,Photo + Video,"65,000",per day
Candid Photography Lucky Film's,4.9,Rakabganj,12 reviews,Photo + Video,"40,000",per day
Filmphic Productions,5.0,Sikandra,8 reviews,Photo + Video,"50,000",per day
Wedlock Productions,5.0,Civil Lines,7 reviews,Photo + Video,"75,000",per day
Photo Production,4.8,Agra,6 reviews,Photo + Video,"55,000",per day
Kuldeep Digital Photo Studio,4.5,Agra,1 review,Photo + Video,"35,000",per day
Studio Next,5.0,Civil Lines,4 reviews,Photo + Video,"80,000",per day
Rishi Singh Photography,5.0,Lohamandi,14 reviews,Photo + Video,"60,000",per day
Friend's Video,4.8,Civil Lines,6 reviews,Photo + Video,"30,000",per day
Rathi Studio,4.7,Trans Yamuna Colony,6 reviews,Photo + Video,"40,000",per day
Yash Digital Studio,5.0,Tajganj,1 review,Photo + Video,"55,000",per day
SSD Studio,5.0,Kamla Nagar,1 review,Photo + Video,"40,000",per day
Manish Official Photography,4.5,Trans Yamuna Colony,1 review,Photo + Video,"60,000",per day
Rudrapixles,5.0,Agra,6 reviews,Photo + Video,"45,000",per day
Jatin Mittal Photography,5.0,Trans Yamuna Colony,5 reviews,Photo + Video,"60,000",per day
R.K. Studio & Movies,5.0,Civil Lines,1 review,Photo + Video,"35,000",per day
Shoot My Wedding,5.0,Rakabganj,6 reviews,Photo + Video,"75,000",per day
Cinestory Wedding Films,5.0,Trans Yamuna Colony,1 review,Photo + Video,"60,000",per day
PicsAura Studio,4.9,Kamla Nagar,15 reviews,Photo + Video,"60,000",per day
Rishab Video Vision,5.0,Rakabganj,1 review,Photo + Video,"47,000",per day
Ashu Sharma Photography,4.8,Civil Lines,2 reviews,Photo + Video,"60,000",per day
Bantu Sharma Photography,4.0,Civil Lines,1 review,Photo + Video,"28,000",per day
Kalash Photography,4.8,Fatehabad Road,3 reviews,Photo + Video,"24,500",per day
Abhinav Agarwal Photography,4.9,Agra,13 reviews,Photo + Video,"50,000",per day
Aamir Husain Photography,5.0,Rakabganj,4 reviews,Photo + Video,"50,000",per day
Prince Chopra Photography,5.0,Agra,6 reviews,Photo + Video,"25,000",per day
Amayra Photography,5.0,Kamla Nagar,1 review,Photo + Video,"45,000",per day
Rana Digital Studio,5.0,Khandari,3 reviews,Photo + Video,"25,000",per day
Pk Photo Studio Candid Wedding Photography,5.0,Kamla Nagar,1 review,Photo + Video,"70,000",per day
Perfect Pixels Photography,4.7,Agra,17 reviews,Photo + Video,"30,000",per day
Boby Photography,5.0,Sadar Bazar,2 reviews,Photo Package,"15,000",per day
A One Photography,5.0,Shahganj,2 reviews,Photo + Video,"40,000",per day
Ashu Photography,Civil Lines,No Reviews,Photo + Video,"80,000",per day,None
Nice Wedding,4.3,Agra,5 reviews,On Request,None,None
Aperture Studio,Sadar Bazar,No Reviews,Photo + Video,"26,000",per day,None
SB Digital Studio,Trans Yamuna Colony,No Reviews,Photo + Video,"40,000",per day,None
Arcelor Color Lab,3.8,Tajganj,5 reviews,Photo + Video,"60,000",per day
AJ Films,Fatehabad Road,No Reviews,Photo + Video,"25,000",per day,None
Krishna Photo Studio,Sadar Bazar,No Reviews,Photo + Video,"40,000",per day,None
Raj Photography,Sadar Bazar,No Reviews,Photo + Video,"1,00,000",per day,None
Manjeet Photography,4.5,Agra,1 review,Photo + Video,"30,000",per day
Stylista Studioz,Shahganj,No Reviews,Photo + Video,"42,000",per day,None
Devpreet Photo Studio,Kamla Nagar,No Reviews,Photo Package,"28,000",per day,None
Bharat Photo Studio,Agra,No Reviews,Photo + Video,"60,000",per day,None
Arun Photo Service,Shahganj,No Reviews,Photo + Video,"65,000",per day,None
Mohini Digital Photo Studio,Agra,No Reviews,Photo + Video,"40,000",per day,None
Natraj Studio Photography,Agra,No Reviews,Photo + Video,"40,000",per day,None
Khushi Studio,Shahganj,No Reviews,Photo + Video,"23,000",per day,None
Goyal Video Vision,Civil Lines,No Reviews,Photo + Video,"50,000",per day,None
Nainy Studio,Agra,No Reviews,Photo + Video,"28,000",per day,None
Manoranjan Video Palace,Agra,No Reviews,Photo + Video,"35,000",per day,None
Taj Framers,Sadar Bazar,No Reviews,Photo + Video,"90,000",per day,None
Sanjeev Photography,Gwalior Road,No Reviews,Photo + Video,"60,000",per day,None
Ankit Photography,Agra,No Reviews,Photo + Video,"30,000",per day,None
Picture Junction Films & Production,Civil Lines,No Reviews,Photo + Video,"45,000",per day,None
Khatri’s Photoworks,Civil Lines,No Reviews,Photo + Video,"45,000",per day,None
Diamond Event and Wedding,Khandari,No Reviews,Photo + Video,"50,000",per day,None
Fashion Digital Photo Studio,Agra,No Reviews,Photo + Video,"40,000",per day,None
Deepak Video,Civil Lines,No Reviews,Photo + Video,"32,000",per day,None
Honey Photography,Shahganj,No Reviews,Photo + Video,"45,000",per day,None
Photography by Neet Kashyap,Agra,No Reviews,Photo Package,"15,000",per day,None
Lamhe Video,Sikandra,No Reviews,Photo + Video,"55,000",per day,None
Crystal Video,Agra,No Reviews,Photo + Video,"42,000",per day,None
Manish Photography,Agra Cantt,No Reviews,Photo + Video,"32,000",per day,None
Gaurav Photography,Civil Lines,No Reviews,Photo + Video,"50,000",per day,None
BILLA Digital Studio,Agra,No Reviews,Photo + Video,"25,000",per day,None
Rajendra Video,Civil Lines,No Reviews,Photo + Video,"60,000",per day,None
Kalpana Studio,Agra,No Reviews,Photo Package,"16,000",per day,None
Amardeep Photography,Sadar Bazar,No Reviews,Photo + Video,"21,000",per day,None
Shyam Studio,Agra,No Reviews,Photo + Video,"40,000",per day,None
Sunil Arora Shoots,Shahganj,No Reviews,Photo + Video,"20,000",per day,None
Aryan Photo Studio,Agra Cantt,No Reviews,Photo + Video,"65,000",per day,None
U Like Photography,Agra,No Reviews,Photo + Video,"55,000",per day,None
Tiwari Photo Service,Agra Cantt,No Reviews,Photo + Video,"20,000",per day,None
S K Studio,Sikandra,No Reviews,Photo + Video,"43,000",per day,None
Krishna Studio,Khandari,No Reviews,Photo + Video,"80,000",per day,None
K D Photo Point,Tajganj,No Reviews,Photo + Video,"60,000",per day,None
DK Studio,Tajganj,No Reviews,Photo + Video,"24,000",per day,None
Alina Photo Shoot,Agra,No Reviews,Photo + Video,"50,000",per day,None
Sonu Photo Studio,Kamla Nagar,No Reviews,Photo + Video,"42,000",per day,None
Fine Art Studio,Civil Lines,No Reviews,Photo + Video,"48,000",per day,None
Wedclick Photo Studio,Shahganj,No Reviews,Photo + Video,"23,000",per day,None
Choudry Digital Studio,Shahganj,No Reviews,Photo + Video,"30,000",per day,None
Priya Lall Photo Studio,4.1,Rakabganj,4 reviews,Photo + Video,"40,000",per day
Mamta Studio,Lohamandi,No Reviews,Photo + Video,"50,000",per day,None
Dhawan Photography,Sikandra,No Reviews,Photo + Video,"65,000",per day,None
Om Studio,Shahganj,No Reviews,Photo + Video,"80,000",per day,None
Pal Studio,Khandari,No Reviews,Photo + Video,"65,000",per day,None
Raj Studio & Mixing Center,Tajganj,No Reviews,Photo + Video,"75,000",per day,None
N.S. Photo Studio,Kamla Nagar,No Reviews,Photo + Video,"30,000",per day,None
Graff Video,Shahganj,No Reviews,Photo + Video,"50,000",per day,None
Rahul Photography,3.0,Agra,1 review,Photo + Video,"30,000",per day
Zero Cool Photography,Kamla Nagar,No Reviews,Photo + Video,"24,000",per day,None
Mittal Studio,Agra,No Reviews,Photo + Video,"35,000",per day,None
Akash Kiran Studio,Shahganj,No Reviews,Photo + Video,"29,000",per day,None
Sunny Photo Studio,Sikandra,No Reviews,Photo + Video,"26,000",per day,None
Bittu Boss Photographers,Agra,No Reviews,Photo + Video,"45,000",per day,None
Wedding Highlight,Trans Yamuna Colony,No Reviews,Photo + Video,"26,000",per day,None
Shadi Events,Fatehabad Road,No Reviews,Photo + Video,"50,000",per day,None
Ganglas Group Of Entertainment,Agra,No Reviews,Photo + Video,"50,000",per day,None
A.P. Digital Studio,Rakabganj,No Reviews,Photo + Video,"25,000",per day,None
Shaed Photography,Lohamandi,No Reviews,Photo + Video,"50,000",per day,None
Vibrant Shades Productions,Civil Lines,No Reviews,Photo + Video,"46,000",per day,None
S S Photo Studio,Lohamandi,No Reviews,Photo + Video,"65,000",per day,None
S.K STUDIO,Khandari,No Reviews,Photo + Video,"68,000",per day,None
Sonu Clicks,Agra,No Reviews,Photo + Video,"25,000",per day,None
Blink Eye Films,Civil Lines,No Reviews,Photo + Video,"50,000",per day,None
Mani Video,Shahganj,No Reviews,Photo + Video,"38,000",per day,None
Sai Art Studio,Khandari,No Reviews,Photo + Video,"70,000",per day,None
U.K. Photography,Shahganj,No Reviews,Photo + Video,"30,000",per day,None
APS Studio,Trans Yamuna Colony,No Reviews,Photo + Video,"30,000",per day,None
Arora Studio-The Moment Makers,3.1,Agra,13 reviews,Photo + Video,"40,000",per day
Rawat Photo Studio,Tajganj,No Reviews,Photo + Video,"50,000",per day,None
Abhay Yadav Photography,Agra Cantt,No Reviews,Photo + Video,"50,000",per day,None
Angel Digital Photo,Shahganj,No Reviews,Photo + Video,"35,000",per day,None
Photozone Video and Photography,Kamla Nagar,No Reviews,Photo + Video,"65,000",per day,None
Galaxy Digital Photo,Agra,No Reviews,Photo + Video,"1,25,000",per day,None
Momentz by Aditya Verma,Sadar Bazar,No Reviews,Photo + Video,"43,000",per day,None
M.C. Digital Photo Workshop,Lohamandi,No Reviews,Photo + Video,"45,000",per day,None
Arpan Studio - Photographic Venue,0.8,Agra,2 reviews,Photo + Video,"40,000",per day
Drp Studios,Rakabganj,No Reviews,Photo + Video,"50,000",per day,None
Naresh Studio & Videos Mixing,Sikandra,No Reviews,Photo + Video,"65,000",per day,None
Photo World Films,Agra,No Reviews,Photo + Video,"70,000",per day,None
Jitu Shrivastava Photography,Kamla Nagar,No Reviews,Photo + Video,"60,000",per day,None
Lifestyle Drone Cemara,Agra Cantt,No Reviews,Photo + Video,"38,000",per day,None
Aman Photo Studio,Shahganj,No Reviews,Photo + Video,"60,000",per day,None
B.K.Digital Studio,Agra,No Reviews,Photo + Video,"50,000",per day,None
Krishna Colour Lab & Studio,Trans Yamuna Colony,No Reviews,Photo + Video,"65,000",per day,None
Khalsa Video & Studio Agra,Sadar Bazar,No Reviews,Photo + Video,"75,000",per day,None
Mann Photography,Agra,No Reviews,Photo + Video,"35,000",per day,None
Sunil Movies,Rakabganj,No Reviews,Photo + Video,"47,000",per day,None
Enigma Creations,Civil Lines,No Reviews,Photo + Video,"25,000",per day,None
Sachin Pachauri Photography,Civil Lines,No Reviews,Photo + Video,"50,000",per day,None
Sarthak Shot's,Kamla Nagar,No Reviews,Photo + Video,"35,000",per day,None
Dev Kush Photography,Tajganj,No Reviews,Photo + Video,"30,000",per day,None
Om Photo Studio,Kamla Nagar,No Reviews,Photo + Video,"30,000",per day,None
Agra Studio,Khandari,No Reviews,Photo + Video,"50,000",per day,None
Aafat Photography,Sikandra,No Reviews,Photo + Video,"25,000",per day,None
Mms Studio,Kamla Nagar,No Reviews,Photo + Video,"25,000",per day,None
Fajal Khan Photography,Sikandra,No Reviews,Photo + Video,"65,000",per day,None
N.M. Photo Studio,Civil Lines,No Reviews,Photo + Video,"28,000",per day,None
Chopra Photo Studio & Digital Color Photo Lab,Shahganj,No Reviews,Photo + Video,"26,000",per day,None
SB Studio,Civil Lines,No Reviews,Photo + Video,"38,000",per day,None
Gupta Digital Photo Studio,Kamla Nagar,No Reviews,Photo + Video,"55,000",per day,None
Anoop Photography,Agra,No Reviews,Photo + Video,"35,000",per day,None
Photo Futura,Civil Lines,No Reviews,Photo + Video,"50,000",per day,None
Pretty Bride,Agra,No Reviews,Photo + Video,"2,50,000",per day,None
Riya Studio,Sikandra,No Reviews,Photo + Video,"36,000",per day,None
Honey Studio,Tajganj,No Reviews,Photo + Video,"45,000",per day,None
A.K Photography,Agra,No Reviews,Photo + Video,"40,000",per day,None
Era Group Film Makers,Sikandra,No Reviews,Photo + Video,"28,000",per day,None
Wedding Production House Prakash Studio,Tajganj,No Reviews,Photo + Video,"34,000",per day,None
Chahar Photo Studio,Gwalior Road,No Reviews,Photo + Video,"20,000",per day,None
Ratanlal Photographer,Agra Cantt,No Reviews,Photo + Video,"50,000",per day,None
S2k Photography,Tajganj,No Reviews,Photo + Video,"40,000",per day,None
Saxena Digital Studio,Gwalior Road,No Reviews,Photo + Video,"60,000",per day,None
Rajput Photo Studio,Fatehabad Road,No Reviews,Photo + Video,"45,000",per day,None
Simran Digital Photo Studio,Kamla Nagar,No Reviews,Photo + Video,"40,000",per day,None
Aditya Photo Studio,Sikandra,No Reviews,Photo + Video,"45,000",per day,None
Vaishno Photo Studio,Shahganj,No Reviews,Photo + Video,"50,000",per day,None
J.K. Photo Studio,Shahganj,No Reviews,Photo + Video,"28,000",per day,None
Pammy Studio,Agra,No Reviews,Photo + Video,"25,000",per day,None
